lon,lat,mmh,thunderstorm,hail
45.84981,47.68526,0.000,0,0
45.88980,47.68526,0.000,0,0
45.92979,47.68526,0.000,0,0
45.96978,47.68526,0.000,0,0
46.00978,47.68526,0.000,0,0
46.04977,47.68526,0.000,0,0
46.08976,47.68526,0.000,0,0
46.12975,47.68526,0.000,0,0
46.16974,47.68526,0.000,0,0
46.20973,47.68526,0.000,0,0
46.24972,47.68526,0.000,0,0
46.28971,47.68526,0.000,0,0
46.32970,47.68526,0.000,0,0
46.36970,47.68526,0.000,0,0
46.40969,47.68526,0.000,0,0
46.44968,47.68526,0.000,0,0
46.48967,47.68526,0.000,0,0
46.52966,47.68526,0.000,0,0
46.56965,47.68526,0.000,0,0
46.60964,47.68526,0.000,0,0
46.64963,47.68526,0.000,0,0
46.68962,47.68526,0.000,0,0
46.72962,47.68526,0.000,0,0
46.76961,47.68526,0.000,0,0
46.80960,47.68526,0.000,0,0
46.84959,47.68526,0.000,0,0
46.88958,47.68526,0.000,0,0
46.92957,47.68526,0.000,0,0
46.96956,47.68526,0.000,0,0
47.00955,47.68526,0.000,0,0
47.04954,47.68526,0.000,0,0
47.08954,47.68526,0.000,0,0
47.12953,47.68526,0.000,0,0
47.16952,47.68526,0.000,0,0
47.20951,47.68526,0.000,0,0
47.24950,47.68526,0.000,0,0
47.28949,47.68526,0.000,0,0
47.32948,47.68526,0.000,0,0
47.36947,47.68526,0.000,0,0
47.40946,47.68526,0.000,0,0
47.44946,47.68526,0.000,0,0
47.48945,47.68526,0.000,0,0
47.52944,47.68526,0.000,0,0
47.56943,47.68526,0.000,0,0
47.60942,47.68526,0.000,0,0
47.64941,47.68526,0.000,0,0
47.68940,47.68526,0.000,0,0
47.72939,47.68526,0.000,0,0
47.76938,47.68526,0.000,0,0
47.80938,47.68526,0.000,0,0
47.84937,47.68526,0.000,0,0
47.88936,47.68526,0.000,0,0
47.92935,47.68526,0.000,0,0
47.96934,47.68526,0.000,0,0
48.00933,47.68526,0.000,0,0
48.04932,47.68526,0.000,0,0
48.08931,47.68526,0.000,0,0
48.12930,47.68526,0.000,0,0
48.16930,47.68526,0.000,0,0
48.20929,47.68526,0.000,0,0
48.24928,47.68526,0.000,0,0
48.28927,47.68526,0.000,0,0
48.32926,47.68526,0.000,0,0
48.36925,47.68526,0.000,0,0
48.40924,47.68526,0.000,0,0
48.44923,47.68526,0.000,0,0
48.48922,47.68526,0.000,0,0
48.52922,47.68526,0.000,0,0
48.56921,47.68526,0.000,0,0
48.60920,47.68526,0.000,0,0
48.64919,47.68526,0.000,0,0
48.68918,47.68526,0.000,0,0
48.72917,47.68526,0.000,0,0
48.76916,47.68526,0.000,0,0
48.80915,47.68526,0.000,0,0
48.84914,47.68526,0.000,0,0
48.88914,47.68526,0.000,0,0
48.92913,47.68526,0.000,0,0
48.96912,47.68526,0.000,0,0
49.00911,47.68526,0.000,0,0
49.04910,47.68526,0.000,0,0
49.08909,47.68526,0.000,0,0
49.12908,47.68526,0.000,0,0
49.16907,47.68526,0.000,0,0
49.20906,47.68526,0.000,0,0
49.24906,47.68526,0.000,0,0
49.28905,47.68526,0.000,0,0
49.32904,47.68526,0.000,0,0
49.36903,47.68526,0.000,0,0
49.40902,47.68526,0.000,0,0
49.44901,47.68526,0.000,0,0
49.48900,47.68526,0.000,0,0
49.52899,47.68526,0.000,0,0
49.56898,47.68526,0.000,0,0
49.60898,47.68526,0.000,0,0
49.64897,47.68526,0.000,0,0
49.68896,47.68526,0.000,0,0
49.72895,47.68526,0.000,0,0
49.76894,47.68526,0.000,0,0
49.80893,47.68526,0.000,0,0
49.84892,47.68526,0.000,0,0
49.88891,47.68526,0.000,0,0
49.92890,47.68526,0.000,0,0
49.96890,47.68526,0.000,0,0
50.00889,47.68526,0.000,0,0
50.04888,47.68526,0.000,0,0
50.08887,47.68526,0.000,0,0
50.12886,47.68526,0.000,0,0
50.16885,47.68526,0.000,0,0
50.20884,47.68526,0.000,0,0
50.24883,47.68526,0.000,0,0
50.28882,47.68526,0.000,0,0
50.32882,47.68526,0.000,0,0
50.36881,47.68526,0.000,0,0
50.40880,47.68526,0.000,0,0
50.44879,47.68526,0.000,0,0
50.48878,47.68526,0.000,0,0
50.52877,47.68526,0.000,0,0
50.56876,47.68526,0.000,0,0
50.60875,47.68526,0.000,0,0
50.64874,47.68526,0.000,0,0
50.68874,47.68526,0.000,0,0
50.72873,47.68526,0.000,0,0
50.76872,47.68526,0.000,0,0
50.80871,47.68526,0.000,0,0
50.84870,47.68526,0.000,0,0
50.88869,47.68526,0.000,0,0
50.92868,47.68526,0.000,0,0
50.96867,47.68526,0.000,0,0
51.00866,47.68526,0.000,0,0
51.04866,47.68526,0.000,0,0
51.08865,47.68526,0.000,0,0
51.12864,47.68526,0.000,0,0
51.16863,47.68526,0.000,0,0
51.20862,47.68526,0.000,0,0
51.24861,47.68526,0.000,0,0
51.28860,47.68526,0.000,0,0
